[2023-03-22 15:00:21,521][kospeech.utils][INFO] - audio:
  audio_extension: wav
  sample_rate: 16000
  frame_length: 20
  frame_shift: 10
  normalize: true
  del_silence: true
  feature_extract_by: kaldi
  time_mask_num: 4
  freq_mask_num: 2
  spec_augment: true
  input_reverse: false
  transform_method: fbank
  n_mels: 80
  freq_mask_para: 18
model:
  architecture: deepspeech2
  teacher_forcing_ratio: 1.0
  teacher_forcing_step: 0.0
  min_teacher_forcing_ratio: 1.0
  dropout: 0.3
  bidirectional: false
  joint_ctc_attention: false
  max_len: 400
  use_bidirectional: true
  rnn_type: gru
  hidden_dim: 1024
  activation: hardtanh
  num_encoder_layers: 3
train:
  dataset: kspon
  dataset_path: ./dataset/kspon/data/kss
  transcripts_path: ../../../transcripts.txt
  output_unit: character
  batch_size: 32
  save_result_every: 100
  checkpoint_every: 100
  print_every: 10
  mode: train
  num_workers: 8
  use_cuda: true
  num_threads: 2
  init_lr_scale: 0.01
  final_lr_scale: 0.05
  max_grad_norm: 400
  weight_decay: 1.0e-05
  total_steps: 200000
  seed: 777
  resume: false
  optimizer: adam
  init_lr: 1.0e-06
  final_lr: 1.0e-06
  peak_lr: 0.0001
  warmup_steps: 400
  num_epochs: 8
  reduction: mean
  lr_scheduler: tri_stage_lr_scheduler

[2023-03-22 15:00:21,594][kospeech.utils][INFO] - Operating System : Windows 10
[2023-03-22 15:00:24,397][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2237.wav
[2023-03-22 15:00:24,397][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3847.wav
[2023-03-22 15:00:24,401][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3968.wav
[2023-03-22 15:00:24,403][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0065.wav
[2023-03-22 15:00:24,410][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0390.wav
[2023-03-22 15:00:24,412][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2698.wav
[2023-03-22 15:00:24,415][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1691.wav
[2023-03-22 15:00:24,417][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2461.wav
[2023-03-22 15:00:24,424][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2451.wav
[2023-03-22 15:00:24,427][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1270.wav
[2023-03-22 15:00:24,429][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0713.wav
[2023-03-22 15:00:24,430][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4602.wav
[2023-03-22 15:00:24,436][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0084.wav
[2023-03-22 15:00:24,438][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0202.wav
[2023-03-22 15:00:24,440][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0315.wav
[2023-03-22 15:00:24,442][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0340.wav
[2023-03-22 15:00:24,446][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1497.wav
[2023-03-22 15:00:24,451][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4356.wav
[2023-03-22 15:00:24,456][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3377.wav
[2023-03-22 15:00:24,456][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1809.wav
[2023-03-22 15:00:24,464][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1938.wav
[2023-03-22 15:00:24,465][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0655.wav
[2023-03-22 15:00:24,470][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0809.wav
[2023-03-22 15:00:24,471][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4565.wav
[2023-03-22 15:00:24,474][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0466.wav
[2023-03-22 15:00:24,477][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4201.wav
[2023-03-22 15:00:24,481][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3291.wav
[2023-03-22 15:00:24,483][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0618.wav
[2023-03-22 15:00:24,488][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1631.wav
[2023-03-22 15:00:24,490][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0445.wav
[2023-03-22 15:00:24,493][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1122.wav
[2023-03-22 15:00:24,494][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2524.wav
[2023-03-22 15:00:24,500][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3333.wav
[2023-03-22 15:00:24,502][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2135.wav
[2023-03-22 15:00:24,504][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2203.wav
[2023-03-22 15:00:24,506][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4302.wav
[2023-03-22 15:00:24,512][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0151.wav
[2023-03-22 15:00:24,515][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1177.wav
[2023-03-22 15:00:24,519][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0751.wav
[2023-03-22 15:00:24,522][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2551.wav
[2023-03-22 15:00:24,526][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4450.wav
[2023-03-22 15:00:24,529][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0417.wav
[2023-03-22 15:00:24,531][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0262.wav
[2023-03-22 15:00:24,533][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4294.wav
[2023-03-22 15:00:24,535][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4021.wav
[2023-03-22 15:00:24,537][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0068.wav
[2023-03-22 15:00:24,545][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0115.wav
[2023-03-22 15:00:24,549][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4447.wav
[2023-03-22 15:00:24,551][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2647.wav
[2023-03-22 15:00:24,553][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0108.wav
[2023-03-22 15:00:24,557][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3303.wav
[2023-03-22 15:00:24,562][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2484.wav
[2023-03-22 15:00:24,565][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3117.wav
[2023-03-22 15:00:24,567][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0873.wav
[2023-03-22 15:00:24,569][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2746.wav
[2023-03-22 15:00:24,572][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2616.wav
[2023-03-22 15:00:24,576][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0413.wav
[2023-03-22 15:00:24,580][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3663.wav
[2023-03-22 15:00:24,584][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1082.wav
[2023-03-22 15:00:24,589][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0855.wav
[2023-03-22 15:00:24,590][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0460.wav
[2023-03-22 15:00:24,593][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3160.wav
[2023-03-22 15:00:24,598][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0482.wav
[2023-03-22 15:00:24,600][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1649.wav
[2023-03-22 15:00:24,603][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0728.wav
[2023-03-22 15:00:24,604][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1253.wav
[2023-03-22 15:00:24,605][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4163.wav
[2023-03-22 15:00:24,611][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0227.wav
[2023-03-22 15:00:24,613][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4650.wav
[2023-03-22 15:00:24,616][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0528.wav
[2023-03-22 15:00:24,620][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2387.wav
[2023-03-22 15:00:24,623][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1354.wav
[2023-03-22 15:00:24,625][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1380.wav
[2023-03-22 15:00:24,628][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0976.wav
[2023-03-22 15:00:24,631][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3053.wav
[2023-03-22 15:00:24,634][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0971.wav
[2023-03-22 15:00:24,635][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3917.wav
[2023-03-22 15:00:24,638][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4029.wav
[2023-03-22 15:00:24,641][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0696.wav
[2023-03-22 15:00:24,645][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3233.wav
[2023-03-22 15:00:24,646][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0032.wav
[2023-03-22 15:00:24,652][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3600.wav
[2023-03-22 15:00:24,654][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0965.wav
[2023-03-22 15:00:24,657][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1297.wav
[2023-03-22 15:00:24,659][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0914.wav
[2023-03-22 15:00:24,661][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2321.wav
[2023-03-22 15:00:24,666][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0356.wav
[2023-03-22 15:00:24,669][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0594.wav
[2023-03-22 15:00:24,670][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1849.wav
[2023-03-22 15:00:24,675][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0196.wav
[2023-03-22 15:00:24,676][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0038.wav
[2023-03-22 15:00:24,681][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0325.wav
[2023-03-22 15:00:24,683][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4201.wav
[2023-03-22 15:00:24,686][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3068.wav
[2023-03-22 15:00:24,688][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3919.wav
[2023-03-22 15:00:24,690][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0423.wav
[2023-03-22 15:00:24,693][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0464.wav
[2023-03-22 15:00:24,700][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3084.wav
[2023-03-22 15:00:24,702][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4067.wav
[2023-03-22 15:00:24,704][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0005.wav
[2023-03-22 15:00:24,707][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3134.wav
[2023-03-22 15:00:24,709][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0222.wav
[2023-03-22 15:00:24,711][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1299.wav
[2023-03-22 15:00:24,716][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0929.wav
[2023-03-22 15:00:24,717][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1308.wav
[2023-03-22 15:00:24,722][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4463.wav
[2023-03-22 15:00:24,727][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0063.wav
[2023-03-22 15:00:24,728][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3507.wav
[2023-03-22 15:00:24,732][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1036.wav
[2023-03-22 15:00:24,732][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0426.wav
[2023-03-22 15:00:24,734][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0272.wav
[2023-03-22 15:00:24,741][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0447.wav
[2023-03-22 15:00:24,741][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4134.wav
[2023-03-22 15:00:24,744][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4074.wav
[2023-03-22 15:00:24,749][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0047.wav
[2023-03-22 15:00:24,751][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4499.wav
[2023-03-22 15:00:24,758][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1513.wav
[2023-03-22 15:00:24,759][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3161.wav
[2023-03-22 15:00:24,760][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3522.wav
[2023-03-22 15:00:24,764][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0372.wav
[2023-03-22 15:00:24,766][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1488.wav
[2023-03-22 15:00:24,768][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0587.wav
[2023-03-22 15:00:24,774][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_1050.wav
[2023-03-22 15:00:24,774][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3302.wav
[2023-03-22 15:00:24,783][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1796.wav
[2023-03-22 15:00:24,785][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2441.wav
[2023-03-22 15:00:24,788][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2034.wav
[2023-03-22 15:00:24,790][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0324.wav
[2023-03-22 15:00:24,793][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3568.wav
[2023-03-22 15:00:24,795][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4175.wav
[2023-03-22 15:00:24,799][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0643.wav
[2023-03-22 15:00:24,800][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0507.wav
[2023-03-22 15:00:24,809][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2887.wav
[2023-03-22 15:00:24,810][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2067.wav
[2023-03-22 15:00:24,815][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3958.wav
[2023-03-22 15:00:24,817][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0949.wav
[2023-03-22 15:00:24,819][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3528.wav
[2023-03-22 15:00:24,822][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2432.wav
[2023-03-22 15:00:24,823][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3417.wav
[2023-03-22 15:00:24,825][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3127.wav
[2023-03-22 15:00:24,834][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4788.wav
[2023-03-22 15:00:24,835][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2360.wav
[2023-03-22 15:00:24,840][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2833.wav
[2023-03-22 15:00:24,841][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0544.wav
[2023-03-22 15:00:24,845][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0527.wav
[2023-03-22 15:00:24,850][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1178.wav
[2023-03-22 15:00:24,851][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1386.wav
[2023-03-22 15:00:24,852][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3519.wav
[2023-03-22 15:00:24,859][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3425.wav
[2023-03-22 15:00:24,861][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0376.wav
[2023-03-22 15:00:24,864][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3823.wav
[2023-03-22 15:00:24,868][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2614.wav
[2023-03-22 15:00:24,870][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1660.wav
[2023-03-22 15:00:24,876][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4341.wav
[2023-03-22 15:00:24,880][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2258.wav
[2023-03-22 15:00:24,880][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0405.wav
[2023-03-22 15:00:24,882][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0353.wav
[2023-03-22 15:00:24,885][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3973.wav
[2023-03-22 15:00:24,887][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0900.wav
[2023-03-22 15:00:24,892][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1495.wav
